foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-8.0,-8.0,1,21,13,2,2
-6.0,-8.0,1,20,13,2,2
-4.0,-8.0,1,19,13,2,2
-2.0,-8.0,1,18,13,2,3
-2.0,-6.0,18,12,15,3,3
-2.0,-4.0,18,11,15,3,3
-2.0,-2.0,18,10,15,3,3
-2.0,0.0,18,9,15,3,2
-28.0,28.0,16,17,9,2,2
-26.0,28.0,16,16,9,2,2
-24.0,28.0,16,15,9,2,2
-22.0,28.0,16,14,9,2,2
-20.0,28.0,16,13,9,2,2
-18.0,28.0,16,12,9,2,2
-16.0,28.0,16,11,9,2,2
-14.0,28.0,16,10,9,2,2
-12.0,28.0,16,9,9,2,2
-10.0,28.0,16,8,9,2,2
-8.0,28.0,16,7,9,2,2
-6.0,28.0,16,6,9,2,2
-4.0,28.0,16,5,9,2,2
-2.0,28.0,16,4,9,2,2
0.0,28.0,16,3,9,2,4
0.0,26.0,30,15,3,4,4
0.0,24.0,30,14,3,4,4
0.0,22.0,30,13,3,4,4
0.0,20.0,30,12,3,4,4
0.0,18.0,30,11,3,4,4
0.0,16.0,30,10,3,4,4
0.0,14.0,30,9,3,4,4
0.0,12.0,30,8,3,4,4
0.0,10.0,30,7,3,4,4
0.0,8.0,30,6,3,4,4
0.0,6.0,30,5,3,4,4
0.0,4.0,30,4,3,4,4
0.0,2.0,30,3,3,4,4
34.0,-36.0,30,2,3,4,1
32.0,-36.0,23,29,2,1,1
30.0,-36.0,23,28,2,1,1
28.0,-36.0,23,27,2,1,1
26.0,-36.0,23,26,2,1,1
24.0,-36.0,23,25,2,1,1
22.0,-36.0,23,24,2,1,1
20.0,-36.0,23,23,2,1,1
18.0,-36.0,23,22,2,1,1
16.0,-36.0,23,21,2,1,1
14.0,-36.0,23,20,2,1,1
12.0,-36.0,23,19,2,1,3
12.0,-34.0,14,22,19,3,3
12.0,-32.0,14,21,19,3,1
10.0,-32.0,21,18,4,1,3
10.0,-30.0,15,20,18,3,1
8.0,-30.0,20,17,5,1,3
8.0,-28.0,16,19,17,3,3
8.0,-26.0,16,18,17,3,3
8.0,-24.0,16,17,17,3,1
6.0,-24.0,17,16,8,1,3
6.0,-22.0,17,16,16,3,3
6.0,-20.0,17,15,16,3,3
6.0,-18.0,17,14,16,3,1
4.0,-18.0,14,15,11,1,3
4.0,-16.0,18,13,15,3,3
4.0,-14.0,18,12,15,3,3
4.0,-12.0,18,11,15,3,1
2.0,-12.0,11,14,14,1,1
0.0,-12.0,11,13,14,1,3
0.0,-10.0,20,10,13,3,3
0.0,-8.0,20,9,13,3,3
0.0,-6.0,20,8,13,3,3
0.0,-4.0,20,7,13,3,3
0.0,-2.0,20,6,13,3,3
18.0,6.0,20,5,13,3,2
20.0,6.0,6,19,5,2,2
22.0,6.0,6,18,5,2,2
24.0,6.0,20,17,5,2,2
26.0,6.0,20,16,5,2,2
28.0,6.0,20,15,5,2,2
30.0,6.0,20,14,5,2,4
30.0,4.0,6,19,14,4,4
30.0,2.0,6,18,14,4,1
28.0,2.0,2,5,18,1,1
26.0,2.0,2,4,18,1,1
24.0,2.0,2,16,18,1,1
22.0,2.0,2,15,18,1,1
20.0,2.0,2,14,18,1,1
18.0,2.0,7,13,18,1,1
16.0,2.0,7,12,18,1,1
14.0,2.0,7,11,18,1,1
12.0,2.0,7,10,18,1,1
10.0,2.0,7,9,18,1,1
8.0,2.0,7,8,18,1,1
6.0,2.0,7,7,18,1,1
4.0,2.0,7,6,18,1,1
2.0,2.0,7,5,18,1,1
0.0,2.0,7,4,18,1,4
-14.0,8.0,4,17,29,4,4
-14.0,6.0,4,16,29,4,4
-14.0,4.0,4,15,29,4,4
-14.0,2.0,4,14,29,4,2
-12.0,2.0,14,28,4,2,2
-10.0,2.0,14,27,4,2,2
-8.0,2.0,14,26,4,2,2
-6.0,2.0,14,25,4,2,2
-4.0,2.0,14,24,11,2,2
-2.0,2.0,14,23,11,2,2
0.0,2.0,14,22,11,2,4
-34.0,-12.0,11,13,22,4,4
-34.0,-14.0,11,12,22,4,4
-34.0,-16.0,11,11,22,4,2
-32.0,-16.0,11,21,14,2,2
-30.0,-16.0,11,20,14,2,2
-28.0,-16.0,11,19,14,2,2
-26.0,-16.0,11,18,14,2,2
-24.0,-16.0,11,17,14,2,2
-22.0,-16.0,11,16,14,2,2
-20.0,-16.0,11,15,14,2,2
-18.0,-16.0,11,14,14,2,2
-16.0,-16.0,11,13,14,2,2
-14.0,-16.0,11,12,14,2,2
-12.0,-16.0,11,11,14,2,2
-10.0,-16.0,11,10,14,2,2
-8.0,-16.0,11,9,14,2,2
-6.0,-16.0,11,8,14,2,2
-4.0,-16.0,11,7,14,2,2
-2.0,-16.0,11,6,14,2,2
0.0,-16.0,11,5,14,2,3
0.0,-14.0,5,13,28,3,3
0.0,-12.0,5,12,28,3,3
0.0,-10.0,5,11,28,3,3
0.0,-8.0,5,10,28,3,3
0.0,-6.0,5,9,28,3,3
0.0,-4.0,5,8,28,3,3
0.0,-2.0,5,7,28,3,3
36.0,-2.0,5,6,28,3,1
