foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
0.0,16.0,19,4,6,2,4
0.0,14.0,3,18,4,4,4
0.0,12.0,3,17,4,4,4
0.0,10.0,3,16,4,4,4
0.0,8.0,3,15,4,4,4
0.0,6.0,29,14,4,4,4
0.0,4.0,29,13,4,4,4
0.0,2.0,29,12,4,4,4
38.0,-24.0,29,11,4,4,1
36.0,-24.0,8,28,11,1,1
34.0,-24.0,8,27,11,1,1
32.0,-24.0,14,26,11,1,1
30.0,-24.0,14,25,11,1,1
28.0,-24.0,14,24,11,1,1
26.0,-24.0,14,23,11,1,1
24.0,-24.0,14,22,11,1,1
22.0,-24.0,14,21,11,1,1
20.0,-24.0,14,20,11,1,1
18.0,-24.0,14,19,11,1,1
16.0,-24.0,14,18,11,1,1
14.0,-24.0,14,17,11,1,1
12.0,-24.0,14,16,11,1,1
10.0,-24.0,14,15,11,1,1
8.0,-24.0,14,14,11,1,1
6.0,-24.0,14,13,11,1,1
4.0,-24.0,14,12,11,1,1
2.0,-24.0,14,11,11,1,1
0.0,-24.0,14,10,11,1,3
0.0,-22.0,23,13,10,3,3
0.0,-20.0,23,12,10,3,3
0.0,-18.0,23,11,10,3,3
0.0,-16.0,23,10,10,3,3
0.0,-14.0,23,9,10,3,3
0.0,-12.0,23,8,10,3,3
0.0,-10.0,23,7,10,3,3
0.0,-8.0,23,6,10,3,3
0.0,-6.0,23,5,10,3,3
0.0,-4.0,23,4,10,3,3
0.0,-2.0,23,3,10,3,3
-6.0,20.0,23,2,10,3,2
-4.0,20.0,23,22,2,2,2
-2.0,20.0,23,21,2,2,2
0.0,20.0,23,20,2,2,4
0.0,18.0,3,22,20,4,4
0.0,16.0,3,21,20,4,4
0.0,14.0,3,20,20,4,4
0.0,12.0,3,19,20,4,4
0.0,10.0,3,18,20,4,4
0.0,8.0,13,17,20,4,4
0.0,6.0,13,16,20,4,4
0.0,4.0,13,15,20,4,4
0.0,2.0,13,14,20,4,4
-16.0,-10.0,13,13,20,4,2
-14.0,-10.0,13,19,12,2,2
-12.0,-10.0,13,18,12,2,2
-10.0,-10.0,13,17,12,2,2
-8.0,-10.0,13,16,12,2,2
-6.0,-10.0,13,15,12,2,2
-4.0,-10.0,13,14,12,2,2
-2.0,-10.0,13,13,12,2,2
0.0,-10.0,13,12,12,2,3
0.0,-8.0,12,11,8,3,3
0.0,-6.0,12,10,8,3,3
0.0,-4.0,12,9,8,3,3
0.0,-2.0,12,8,21,3,3
14.0,-10.0,12,7,21,3,1
12.0,-10.0,7,20,5,1,1
10.0,-10.0,7,19,5,1,1
8.0,-10.0,7,18,5,1,1
6.0,-10.0,7,17,5,1,1
4.0,-10.0,7,16,5,1,1
2.0,-10.0,7,15,18,1,1
0.0,-10.0,7,14,18,1,3
0.0,-8.0,19,6,14,3,3
0.0,-6.0,19,5,14,3,3
0.0,-4.0,19,4,14,3,3
0.0,-2.0,19,3,14,3,3
-22.0,6.0,19,2,14,3,2
-20.0,6.0,5,18,2,2,2
-18.0,6.0,5,17,2,2,2
-16.0,6.0,5,16,2,2,2
-14.0,6.0,5,15,2,2,2
-12.0,6.0,5,14,2,2,2
-10.0,6.0,23,13,2,2,2
-8.0,6.0,23,12,2,2,2
-6.0,6.0,23,11,2,2,2
-4.0,6.0,23,10,2,2,2
-2.0,6.0,23,9,2,2,2
0.0,6.0,23,8,2,2,4
0.0,4.0,11,22,8,4,4
0.0,2.0,11,21,8,4,4
24.0,2.0,11,20,8,4,1
22.0,2.0,3,24,20,1,1
20.0,2.0,3,23,20,1,1
18.0,2.0,3,22,20,1,1
16.0,2.0,3,21,20,1,1
14.0,2.0,3,20,20,1,1
12.0,2.0,3,19,20,1,1
10.0,2.0,3,18,20,1,1
8.0,2.0,5,17,20,1,1
6.0,2.0,5,16,20,1,1
4.0,2.0,5,15,20,1,1
2.0,2.0,5,14,20,1,1
0.0,2.0,5,13,20,1,4
12.0,34.0,13,19,20,4,1
10.0,34.0,6,12,19,1,1
8.0,34.0,6,11,19,1,1
6.0,34.0,6,10,19,1,1
4.0,34.0,6,9,19,1,1
2.0,34.0,6,8,19,1,1
0.0,34.0,6,7,19,1,4
0.0,32.0,7,18,26,4,4
0.0,30.0,7,17,26,4,4
0.0,28.0,7,16,26,4,4
0.0,26.0,7,15,26,4,4
0.0,24.0,7,14,26,4,4
0.0,22.0,7,13,26,4,4
0.0,20.0,7,12,26,4,4
0.0,18.0,7,11,26,4,4
0.0,16.0,7,10,26,4,4
0.0,14.0,7,9,26,4,4
0.0,12.0,7,8,26,4,4
0.0,10.0,7,7,26,4,4
0.0,8.0,7,6,26,4,4
0.0,6.0,7,5,26,4,4
0.0,4.0,7,4,26,4,4
0.0,2.0,7,3,26,4,4
-32.0,-12.0,7,2,26,4,2
-30.0,-12.0,2,25,17,2,2
-28.0,-12.0,2,24,23,2,2
-26.0,-12.0,2,23,23,2,2
-24.0,-12.0,2,22,23,2,2
-22.0,-12.0,2,21,23,2,2
-20.0,-12.0,2,20,23,2,2
-18.0,-12.0,2,19,23,2,2
-16.0,-12.0,2,18,23,2,2
-14.0,-12.0,2,17,23,2,2
-12.0,-12.0,2,16,23,2,2
-10.0,-12.0,2,15,23,2,2
-8.0,-12.0,2,14,23,2,2
-6.0,-12.0,2,13,23,2,2
-4.0,-12.0,2,12,23,2,2
-2.0,-12.0,2,11,23,2,2
0.0,-12.0,2,10,23,2,3
0.0,-10.0,10,22,16,3,3
0.0,-8.0,10,21,23,3,3
0.0,-6.0,10,20,23,3,3
0.0,-4.0,10,19,23,3,3
0.0,-2.0,10,18,23,3,3
26.0,-18.0,10,17,23,3,1
24.0,-18.0,17,22,6,1,1
