foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
14.0,-18.0,11,11,22,4,4
14.0,-20.0,11,10,22,4,1
12.0,-20.0,15,10,10,1,1
10.0,-20.0,15,9,10,1,1
8.0,-20.0,15,8,10,1,1
6.0,-20.0,15,7,10,1,1
4.0,-20.0,15,6,10,1,1
2.0,-20.0,15,5,10,1,1
0.0,-20.0,15,4,10,1,3
0.0,-18.0,29,14,4,3,3
0.0,-16.0,29,13,4,3,3
0.0,-14.0,29,12,4,3,3
0.0,-12.0,29,11,4,3,3
0.0,-10.0,29,10,4,3,3
0.0,-8.0,29,9,4,3,3
0.0,-6.0,29,8,4,3,3
0.0,-4.0,29,7,4,3,3
0.0,-2.0,29,6,4,3,3
-20.0,4.0,29,5,4,3,2
-18.0,4.0,20,28,5,2,2
-16.0,4.0,20,27,5,2,2
-14.0,4.0,20,26,5,2,2
-12.0,4.0,20,25,5,2,2
-10.0,4.0,20,24,5,2,2
-8.0,4.0,20,23,5,2,2
-6.0,4.0,20,22,5,2,2
-4.0,4.0,20,21,5,2,2
-2.0,4.0,20,20,5,2,4
-2.0,2.0,13,19,20,4,4
-2.0,0.0,13,18,20,4,4
-2.0,-2.0,13,17,20,4,4
-2.0,-4.0,13,16,20,4,4
-2.0,-6.0,13,15,20,4,4
-2.0,-8.0,13,14,20,4,4
-2.0,-10.0,13,13,20,4,4
-2.0,-12.0,13,12,20,4,2
0.0,-12.0,12,19,13,2,3
0.0,-10.0,19,12,1,3,3
0.0,-8.0,19,11,1,3,3
0.0,-6.0,19,10,1,3,3
0.0,-4.0,19,9,1,3,3
0.0,-2.0,19,8,14,3,3
-16.0,-4.0,19,7,14,3,3
-16.0,-2.0,19,6,14,3,3
-16.0,0.0,19,5,14,3,3
-16.0,2.0,19,4,14,3,3
-16.0,4.0,19,3,14,3,2
-14.0,4.0,22,18,3,2,2
-12.0,4.0,22,17,3,2,2
-10.0,4.0,22,16,3,2,2
-8.0,4.0,22,15,3,2,2
-6.0,4.0,22,14,3,2,2
-4.0,4.0,22,13,3,2,2
-2.0,4.0,22,12,3,2,4
-2.0,2.0,7,21,12,4,4
-2.0,0.0,21,20,12,4,4
-2.0,-2.0,21,19,12,4,4
-2.0,-4.0,21,18,12,4,4
-2.0,-6.0,21,17,12,4,4
-2.0,-8.0,21,16,12,4,4
-2.0,-10.0,21,15,12,4,2
0.0,-10.0,15,11,10,2,3
0.0,-8.0,11,9,1,3,3
0.0,-6.0,11,8,1,3,3
0.0,-4.0,11,7,1,3,3
0.0,-2.0,11,6,1,3,3
4.0,20.0,11,5,1,3,3
4.0,22.0,11,4,22,3,3
4.0,24.0,11,3,22,3,3
4.0,26.0,11,2,22,3,1
2.0,26.0,2,21,7,1,1
0.0,26.0,2,20,23,1,1
-2.0,26.0,2,19,23,1,4
-2.0,24.0,19,22,3,4,4
-2.0,22.0,19,21,3,4,4
-2.0,20.0,19,20,3,4,4
-2.0,18.0,19,19,3,4,4
-2.0,16.0,19,18,14,4,4
-2.0,14.0,19,17,14,4,4
-2.0,12.0,19,16,14,4,4
-2.0,10.0,19,15,14,4,4
-2.0,8.0,19,14,14,4,4
-2.0,6.0,19,13,14,4,4
-2.0,4.0,19,12,14,4,4
-2.0,2.0,19,11,14,4,4
-2.0,0.0,19,10,14,4,4
-2.0,-2.0,19,9,14,4,4
-2.0,-4.0,19,8,14,4,4
-2.0,-6.0,19,7,14,4,4
-2.0,-8.0,19,6,14,4,4
-2.0,-10.0,19,5,14,4,4
-2.0,-12.0,19,4,14,4,2
0.0,-12.0,4,13,21,2,3
0.0,-10.0,13,20,1,3,3
0.0,-8.0,13,19,1,3,3
0.0,-6.0,13,18,1,3,3
0.0,-4.0,13,17,1,3,3
0.0,-2.0,13,16,1,3,3
32.0,2.0,13,15,20,3,3
32.0,4.0,13,14,20,3,3
32.0,6.0,13,13,20,3,3
32.0,8.0,13,12,20,3,1
30.0,8.0,12,19,8,1,1
28.0,8.0,12,18,13,1,1
26.0,8.0,12,17,13,1,1
24.0,8.0,12,16,13,1,1
22.0,8.0,12,15,13,1,1
20.0,8.0,12,14,13,1,1
18.0,8.0,12,13,13,1,1
16.0,8.0,12,12,13,1,1
14.0,8.0,12,11,13,1,1
12.0,8.0,12,10,13,1,1
10.0,8.0,12,9,13,1,1
8.0,8.0,12,8,13,1,1
6.0,8.0,12,7,13,1,1
4.0,8.0,12,6,13,1,1
2.0,8.0,12,5,13,1,1
0.0,8.0,12,4,13,1,4
0.0,6.0,4,12,29,4,4
0.0,4.0,4,11,29,4,4
0.0,2.0,4,10,29,4,4
-48.0,2.0,4,9,29,4,4
-48.0,0.0,4,8,29,4,2
-46.0,0.0,8,28,5,2,2
-44.0,0.0,8,27,5,2,2
-42.0,0.0,8,26,5,2,2
-40.0,0.0,8,25,5,2,2
-38.0,0.0,8,24,17,2,2
-36.0,0.0,8,23,17,2,2
-34.0,0.0,8,22,17,2,2
-32.0,0.0,8,21,17,2,2
-30.0,0.0,8,20,17,2,2
-28.0,0.0,8,19,17,2,2
-26.0,0.0,8,18,17,2,2
-24.0,0.0,8,17,17,2,2
-22.0,0.0,8,16,17,2,2
-20.0,0.0,8,15,17,2,2
-18.0,0.0,8,14,17,2,2
-16.0,0.0,8,13,17,2,2
-14.0,0.0,8,12,17,2,2
-12.0,0.0,8,11,17,2,2
-10.0,0.0,8,10,17,2,2
-8.0,0.0,8,9,17,2,2
-6.0,0.0,8,8,17,2,2
-4.0,0.0,8,7,17,2,2
-2.0,0.0,8,6,17,2,2
34.0,-8.0,8,5,17,2,3
34.0,-6.0,5,16,28,3,3
34.0,-4.0,5,15,28,3,3
34.0,-2.0,5,14,28,3,3
