foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
28.0,0.0,11,19,14,1,1
26.0,0.0,11,18,14,1,1
24.0,0.0,11,17,14,1,1
22.0,0.0,11,16,14,1,1
20.0,0.0,11,15,14,1,1
18.0,0.0,11,14,14,1,1
16.0,0.0,11,13,14,1,1
14.0,0.0,11,12,14,1,1
12.0,0.0,11,11,14,1,1
10.0,0.0,11,10,14,1,1
8.0,0.0,11,9,14,1,1
6.0,0.0,11,8,14,1,1
4.0,0.0,11,7,14,1,1
2.0,0.0,11,6,14,1,1
-30.0,26.0,11,5,14,1,3
-30.0,28.0,28,10,5,3,3
-30.0,30.0,28,9,5,3,3
-30.0,32.0,28,8,5,3,2
-28.0,32.0,3,27,8,2,2
-26.0,32.0,3,26,8,2,2
-24.0,32.0,17,25,8,2,4
-24.0,30.0,3,16,25,4,4
-24.0,28.0,3,15,25,4,4
-24.0,26.0,8,14,25,4,4
-24.0,24.0,8,13,25,4,4
-24.0,22.0,8,12,25,4,4
-24.0,20.0,8,11,25,4,4
-24.0,18.0,8,10,25,4,4
-24.0,16.0,8,9,25,4,4
-24.0,14.0,8,8,25,4,4
-24.0,12.0,8,7,25,4,4
-24.0,10.0,8,6,25,4,4
-24.0,8.0,8,5,25,4,4
-24.0,6.0,8,4,25,4,4
-24.0,4.0,8,3,25,4,4
-24.0,2.0,8,2,25,4,2
-22.0,2.0,2,24,23,2,2
-20.0,2.0,2,23,23,2,2
-18.0,2.0,2,22,23,2,2
-16.0,2.0,2,21,23,2,2
-14.0,2.0,2,20,23,2,2
-12.0,2.0,2,19,23,2,2
-10.0,2.0,2,18,23,2,2
-8.0,2.0,2,17,23,2,2
-6.0,2.0,2,16,23,2,2
-4.0,2.0,2,15,23,2,2
-2.0,2.0,2,14,23,2,2
0.0,2.0,2,13,23,2,2
2.0,2.0,2,12,23,2,4
2.0,0.0,21,1,12,4,1
-18.0,-4.0,1,20,1,1,1
-20.0,-4.0,1,19,1,1,1
-22.0,-4.0,1,18,1,1,1
-24.0,-4.0,24,17,1,1,1
-26.0,-4.0,24,16,1,1,1
-28.0,-4.0,24,15,1,1,1
-30.0,-4.0,24,14,1,1,1
-32.0,-4.0,24,13,1,1,3
-32.0,-2.0,20,23,13,3,2
-30.0,-2.0,1,19,23,2,2
-28.0,-2.0,1,18,23,2,2
-26.0,-2.0,1,17,23,2,2
-24.0,-2.0,2,16,23,2,2
-22.0,-2.0,2,15,23,2,2
-20.0,-2.0,2,14,23,2,2
-18.0,-2.0,2,13,23,2,2
-16.0,-2.0,2,12,23,2,2
-14.0,-2.0,2,11,23,2,2
-12.0,-2.0,2,10,23,2,2
-10.0,-2.0,2,9,23,2,2
-8.0,-2.0,2,8,23,2,2
-6.0,-2.0,2,7,23,2,2
-4.0,-2.0,2,6,23,2,2
-2.0,-2.0,2,5,23,2,2
0.0,-2.0,2,4,23,2,3
50.0,2.0,4,22,29,3,3
50.0,4.0,4,21,29,3,3
50.0,6.0,4,20,29,3,3
50.0,8.0,4,19,29,3,1
48.0,8.0,19,28,4,1,1
46.0,8.0,19,27,4,1,1
44.0,8.0,19,26,6,1,1
42.0,8.0,19,25,6,1,1
40.0,8.0,19,24,6,1,1
38.0,8.0,19,23,6,1,1
36.0,8.0,19,22,6,1,1
34.0,8.0,19,21,6,1,1
32.0,8.0,19,20,6,1,1
30.0,8.0,19,19,6,1,1
28.0,8.0,19,18,6,1,4
28.0,6.0,18,5,15,4,4
28.0,4.0,18,4,15,4,4
28.0,2.0,18,3,15,4,4
28.0,0.0,18,2,15,4,1
26.0,0.0,23,17,2,1,1
24.0,0.0,23,16,2,1,1
22.0,0.0,23,15,2,1,1
20.0,0.0,23,14,2,1,1
18.0,0.0,23,13,2,1,1
16.0,0.0,23,12,2,1,1
14.0,0.0,23,11,2,1,1
12.0,0.0,23,10,2,1,1
10.0,0.0,23,9,2,1,1
8.0,0.0,23,8,2,1,1
6.0,0.0,23,7,2,1,1
4.0,0.0,23,6,2,1,1
2.0,0.0,23,5,2,1,1
-20.0,-20.0,23,4,2,1,3
-20.0,-18.0,29,22,4,3,3
-20.0,-16.0,29,21,4,3,3
-20.0,-14.0,29,20,4,3,3
-20.0,-12.0,29,19,4,3,3
-20.0,-10.0,29,18,4,3,3
-20.0,-8.0,29,17,4,3,3
-20.0,-6.0,29,16,4,3,3
-20.0,-4.0,29,15,4,3,3
-20.0,-2.0,29,14,4,3,3
-20.0,0.0,29,13,4,3,2
-18.0,0.0,12,28,13,2,2
-16.0,0.0,12,27,13,2,2
-14.0,0.0,12,26,13,2,2
-12.0,0.0,12,25,13,2,2
-10.0,0.0,12,24,13,2,2
-8.0,0.0,12,23,13,2,2
-6.0,0.0,12,22,13,2,2
-4.0,0.0,12,21,13,2,2
-2.0,0.0,12,20,13,2,2
-14.0,-22.0,12,19,13,2,2
-12.0,-22.0,12,18,13,2,2
