foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
14.0,-22.0,1,1,22,1,3,2
16.0,-22.0,16,9,21,1,2,3
16.0,-20.0,15,1,21,12,3,3
16.0,-18.0,14,1,21,12,3,3
16.0,-16.0,13,1,21,12,3,1
14.0,-16.0,13,3,1,11,1,3
14.0,-14.0,12,1,22,11,3,1
12.0,-14.0,12,5,1,10,1,3
12.0,-12.0,11,1,23,10,3,1
10.0,-12.0,11,14,1,9,1,3
10.0,-10.0,10,1,24,9,3,1
8.0,-10.0,10,15,1,8,1,3
8.0,-8.0,9,1,25,8,3,1
6.0,-8.0,9,16,1,7,1,3
6.0,-6.0,8,1,26,7,3,1
4.0,-6.0,8,17,1,6,1,3
4.0,-4.0,7,1,27,6,3,1
2.0,-4.0,7,18,1,5,1,3
2.0,-2.0,6,1,28,5,3,1
0.0,-2.0,6,19,1,4,1,3
-38.0,28.0,5,1,29,4,3,2
-36.0,28.0,5,1,28,1,2,2
-34.0,28.0,5,2,27,1,2,2
-32.0,28.0,5,3,26,1,2,2
-30.0,28.0,5,4,25,1,2,2
-28.0,28.0,5,20,24,1,2,2
-26.0,28.0,5,20,23,1,2,4
-26.0,26.0,1,19,23,5,4,2
-24.0,26.0,6,19,22,1,2,4
-24.0,24.0,1,18,22,6,4,2
-22.0,24.0,7,18,21,1,2,4
-22.0,22.0,1,17,21,12,4,2
-20.0,22.0,8,17,20,1,2,4
-20.0,20.0,1,16,20,13,4,2
-18.0,20.0,9,16,19,1,2,4
-18.0,18.0,1,15,19,14,4,2
-16.0,18.0,10,15,18,1,2,4
-16.0,16.0,1,14,18,15,4,2
-14.0,16.0,11,14,17,1,2,4
-14.0,14.0,1,13,17,16,4,2
-12.0,14.0,12,13,16,1,2,4
-12.0,12.0,1,12,16,17,4,2
-10.0,12.0,13,12,15,1,2,4
-10.0,10.0,1,11,15,18,4,2
-8.0,10.0,14,11,14,1,2,4
-8.0,8.0,1,10,14,19,4,2
-6.0,8.0,15,10,13,1,2,4
-6.0,6.0,1,9,13,20,4,2
-4.0,6.0,16,9,12,1,2,4
-4.0,4.0,1,8,12,21,4,2
-2.0,4.0,17,8,11,1,2,4
-2.0,2.0,1,7,11,22,4,2
0.0,2.0,18,7,10,1,2,4
28.0,2.0,1,6,10,23,4,1
