4.0,12.0,0,0,0,1,1
2.0,12.0,13,15,12,1,1
0.0,12.0,13,14,12,1,1
-2.0,12.0,13,13,12,1,1
-4.0,12.0,13,12,12,1,1
-6.0,12.0,13,11,12,1,1
-8.0,12.0,13,10,12,1,1
-10.0,12.0,13,9,12,1,4
-10.0,10.0,9,11,24,4,4
-10.0,8.0,9,10,24,4,4
-10.0,6.0,9,9,24,4,4
-10.0,4.0,9,8,24,4,4
-10.0,2.0,9,7,24,4,4
-10.0,0.0,9,6,24,4,2
-8.0,0.0,6,23,19,2,2
-6.0,0.0,6,22,19,2,2
-4.0,0.0,6,21,19,2,2
-2.0,0.0,6,20,19,2,2
-26.0,-12.0,6,19,19,2,2
-24.0,-12.0,6,18,19,2,2
-22.0,-12.0,6,17,19,2,2
-20.0,-12.0,6,16,19,2,2
-18.0,-12.0,6,15,19,2,2
-16.0,-12.0,6,14,19,2,2
-14.0,-12.0,6,13,19,2,2
-12.0,-12.0,6,12,19,2,2
-10.0,-12.0,6,11,19,2,2
-8.0,-12.0,6,10,19,2,2
-6.0,-12.0,6,9,19,2,2
-4.0,-12.0,6,8,19,2,2
-2.0,-12.0,6,7,19,2,3
-2.0,-10.0,7,18,26,3,3
-2.0,-8.0,7,17,26,3,3
-2.0,-6.0,7,16,26,3,3
-2.0,-4.0,7,15,26,3,3
-2.0,-2.0,7,14,26,3,3
-2.0,0.0,7,13,26,3,2
42.0,-18.0,12,6,13,2,2
44.0,-18.0,12,5,13,2,2
46.0,-18.0,12,4,13,2,2
48.0,-18.0,12,3,13,2,3
48.0,-16.0,3,12,30,3,1
46.0,-16.0,12,29,1,1,1
44.0,-16.0,12,28,13,1,1
42.0,-16.0,12,27,13,1,1
40.0,-16.0,12,26,13,1,1
38.0,-16.0,12,25,13,1,1
36.0,-16.0,12,24,13,1,1
34.0,-16.0,12,23,13,1,1
32.0,-16.0,12,22,13,1,1
30.0,-16.0,12,21,13,1,1
28.0,-16.0,12,20,13,1,1
26.0,-16.0,12,19,13,1,1
24.0,-16.0,12,18,13,1,1
22.0,-16.0,12,17,13,1,1
20.0,-16.0,12,16,13,1,1
18.0,-16.0,12,15,13,1,1
16.0,-16.0,12,14,13,1,1
14.0,-16.0,12,13,13,1,1
12.0,-16.0,12,12,13,1,1
10.0,-16.0,12,11,13,1,1
8.0,-16.0,12,10,13,1,1
6.0,-16.0,12,9,13,1,1
4.0,-16.0,12,8,13,1,1
2.0,-16.0,12,7,13,1,3
2.0,-14.0,26,11,7,3,3
2.0,-12.0,26,10,7,3,3
2.0,-10.0,26,9,7,3,3
2.0,-8.0,26,8,7,3,3
2.0,-6.0,26,7,7,3,3
2.0,-4.0,26,6,7,3,3
2.0,-2.0,26,5,7,3,3
2.0,0.0,26,4,7,3,1
6.0,38.0,4,6,21,1,1
4.0,38.0,4,5,21,1,1
2.0,38.0,4,4,21,1,1
0.0,38.0,4,3,21,1,1
-2.0,38.0,4,2,21,1,4
-2.0,36.0,2,20,31,4,4
-2.0,34.0,2,19,31,4,4
-2.0,32.0,2,18,31,4,4
-2.0,30.0,2,17,31,4,4
-2.0,28.0,2,16,31,4,4
-2.0,26.0,2,15,31,4,4
-2.0,24.0,2,14,31,4,4
-2.0,22.0,2,13,31,4,4
-2.0,20.0,2,12,31,4,4
-2.0,18.0,2,11,31,4,4
-2.0,16.0,2,10,31,4,4
-2.0,14.0,2,9,31,4,4
-2.0,12.0,2,8,31,4,4
-2.0,10.0,2,7,31,4,4
-2.0,8.0,2,6,31,4,4
-2.0,6.0,2,5,31,4,4
-2.0,4.0,2,4,31,4,4
-2.0,2.0,2,3,31,4,2
0.0,2.0,3,30,22,2,2
2.0,2.0,3,29,22,2,2
4.0,2.0,3,28,22,2,2
6.0,2.0,3,27,22,2,2
8.0,2.0,3,26,22,2,2
10.0,2.0,3,25,22,2,2
