foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-2.0,-16.0,11,13,22,4,4
-2.0,-18.0,11,12,22,4,1
-4.0,-18.0,13,10,12,1,1
-6.0,-18.0,13,9,12,1,3
-6.0,-16.0,24,12,9,3,3
-6.0,-14.0,24,11,9,3,3
-6.0,-12.0,24,10,9,3,3
-6.0,-10.0,24,9,9,3,2
-4.0,-10.0,16,23,9,2,2
-2.0,-10.0,16,22,9,2,2
0.0,-10.0,16,21,9,2,2
2.0,-10.0,16,20,9,2,3
2.0,-8.0,20,8,13,3,3
2.0,-6.0,20,7,13,3,3
2.0,-4.0,20,6,13,3,3
2.0,-2.0,20,5,13,3,3
2.0,0.0,20,4,13,3,3
2.0,2.0,20,3,13,3,1
0.0,2.0,3,12,22,1,1
-2.0,2.0,3,11,22,1,1
-4.0,2.0,3,10,22,1,4
-4.0,0.0,10,21,23,4,4
-4.0,-2.0,10,20,23,4,2
-2.0,-2.0,20,22,5,2,2
0.0,-2.0,20,21,5,2,2
2.0,-2.0,20,20,5,2,2
4.0,-2.0,20,19,5,2,3
4.0,0.0,19,4,14,3,1
2.0,0.0,4,13,1,1,1
10.0,34.0,4,12,21,1,1
8.0,34.0,4,11,21,1,1
6.0,34.0,4,10,21,1,1
4.0,34.0,4,9,21,1,1
2.0,34.0,4,8,21,1,4
2.0,32.0,8,20,25,4,4
2.0,30.0,8,19,25,4,4
2.0,28.0,8,18,25,4,4
2.0,26.0,8,17,25,4,4
2.0,24.0,8,16,25,4,1
0.0,24.0,9,7,16,1,1
-2.0,24.0,9,6,16,1,4
-2.0,22.0,6,15,27,4,4
-2.0,20.0,6,14,27,4,4
-2.0,18.0,6,13,27,4,4
-2.0,16.0,6,12,27,4,4
-2.0,14.0,6,11,27,4,4
-2.0,12.0,6,10,27,4,2
0.0,12.0,10,26,15,2,4
0.0,10.0,7,9,26,4,4
0.0,8.0,7,8,26,4,4
0.0,6.0,7,7,26,4,4
0.0,4.0,7,6,26,4,4
0.0,2.0,7,5,26,4,4
6.0,-38.0,7,4,26,4,2
8.0,-38.0,4,25,21,2,2
10.0,-38.0,4,24,21,2,2
12.0,-38.0,4,23,21,2,2
14.0,-38.0,4,22,21,2,3
14.0,-36.0,22,20,11,3,3
14.0,-34.0,22,19,11,3,1
12.0,-34.0,19,10,2,1,1
10.0,-34.0,19,9,6,1,1
8.0,-34.0,19,8,6,1,1
6.0,-34.0,19,7,6,1,3
6.0,-32.0,26,18,7,3,3
6.0,-30.0,26,17,7,3,3
6.0,-28.0,26,16,7,3,3
6.0,-26.0,26,15,7,3,3
6.0,-24.0,26,14,7,3,3
6.0,-22.0,26,13,7,3,3
6.0,-20.0,26,12,7,3,3
6.0,-18.0,26,11,7,3,3
6.0,-16.0,26,10,7,3,3
6.0,-14.0,26,9,7,3,3
6.0,-12.0,26,8,7,3,3
6.0,-10.0,26,7,7,3,3
6.0,-8.0,26,6,7,3,3
6.0,-6.0,26,5,7,3,3
6.0,-4.0,26,4,7,3,3
6.0,-2.0,26,3,7,3,3
6.0,0.0,26,2,7,3,1
4.0,0.0,2,6,23,1,1
2.0,0.0,2,5,23,1,1
-48.0,16.0,2,4,23,1,4
-48.0,14.0,4,22,3,4,4
-48.0,12.0,4,21,29,4,4
-48.0,10.0,4,20,29,4,2
-46.0,10.0,20,28,3,2,2
-44.0,10.0,20,27,5,2,2
-42.0,10.0,20,26,5,2,2
-40.0,10.0,20,25,5,2,4
-40.0,8.0,8,19,25,4,4
-40.0,6.0,8,18,25,4,2
-38.0,6.0,18,24,7,2,2
-36.0,6.0,18,23,7,2,4
-36.0,4.0,10,17,23,4,2
-34.0,4.0,17,22,8,2,2
-32.0,4.0,17,21,8,2,4
-32.0,2.0,12,16,21,4,2
-30.0,2.0,16,20,9,2,2
-28.0,2.0,16,19,9,2,4
-28.0,0.0,14,15,19,4,4
-28.0,-2.0,14,14,19,4,4
-28.0,-4.0,14,13,19,4,4
-28.0,-6.0,14,12,19,4,2
-26.0,-6.0,12,18,13,2,2
-24.0,-6.0,12,17,13,2,2
-22.0,-6.0,12,16,13,2,2
-20.0,-6.0,12,15,13,2,2
-18.0,-6.0,12,14,13,2,3
-18.0,-4.0,14,12,19,3,3
-18.0,-2.0,14,11,19,3,3
-18.0,0.0,14,10,19,3,3
-18.0,2.0,14,9,19,3,2
-16.0,2.0,16,13,9,2,2
-14.0,2.0,16,12,9,2,2
-12.0,2.0,16,11,9,2,2
-10.0,2.0,16,10,9,2,2
-8.0,2.0,16,9,9,2,2
-6.0,2.0,16,8,9,2,2
-4.0,2.0,16,7,9,2,2
-2.0,2.0,16,6,9,2,2
0.0,2.0,16,5,9,2,4
44.0,10.0,28,15,5,4,4
44.0,8.0,28,14,5,4,4
44.0,6.0,28,13,5,4,1
42.0,6.0,3,27,13,1,1
40.0,6.0,3,26,13,1,1
38.0,6.0,12,25,13,1,1
36.0,6.0,12,24,13,1,1
34.0,6.0,12,23,13,1,1
32.0,6.0,12,22,13,1,1
30.0,6.0,12,21,13,1,1
28.0,6.0,12,20,13,1,1
26.0,6.0,12,19,13,1,1
24.0,6.0,12,18,13,1,1
22.0,6.0,12,17,13,1,1
20.0,6.0,12,16,13,1,1
18.0,6.0,12,15,13,1,1
16.0,6.0,12,14,13,1,1
14.0,6.0,12,13,13,1,1
12.0,6.0,12,12,13,1,1
10.0,6.0,12,11,13,1,1
8.0,6.0,12,10,13,1,1
6.0,6.0,12,9,13,1,1
4.0,6.0,12,8,13,1,1
2.0,6.0,12,7,13,1,4
2.0,4.0,7,12,26,4,4
2.0,2.0,7,11,26,4,4
2.0,0.0,7,10,26,4,1
-2.0,-10.0,15,6,10,1,1
-4.0,-10.0,15,5,10,1,1
-6.0,-10.0,15,4,10,1,1
-8.0,-10.0,15,3,10,1,3
-8.0,-8.0,4,14,3,3,3
-8.0,-6.0,4,13,3,3,3
-8.0,-4.0,30,12,3,3,3
-8.0,-2.0,30,11,3,3,3
-8.0,0.0,30,10,3,3,3
-8.0,2.0,30,9,3,3,2
-6.0,2.0,6,29,9,2,2
-4.0,2.0,16,28,9,2,2
-2.0,2.0,16,27,9,2,2
0.0,2.0,16,26,9,2,4
-44.0,-10.0,4,15,26,4,4
-44.0,-12.0,4,14,26,4,2
-42.0,-12.0,14,25,11,2,2
-40.0,-12.0,14,24,11,2,2
-38.0,-12.0,14,23,11,2,2
-36.0,-12.0,14,22,11,2,3
-36.0,-10.0,22,10,4,3,3
-36.0,-8.0,22,9,4,3,3
-36.0,-6.0,22,8,11,3,3
-36.0,-4.0,22,7,11,3,3
-36.0,-2.0,22,6,11,3,3
-36.0,0.0,22,5,11,3,3
-36.0,2.0,22,4,11,3,2
-34.0,2.0,21,21,4,2,2
-32.0,2.0,21,20,4,2,2
-30.0,2.0,21,19,4,2,2
-28.0,2.0,21,18,4,2,4
-28.0,0.0,4,20,18,4,2
-26.0,0.0,20,17,5,2,2
-24.0,0.0,20,16,5,2,2
-22.0,0.0,20,15,5,2,2
-20.0,0.0,20,14,5,2,2
-18.0,0.0,20,13,5,2,2
-16.0,0.0,20,12,5,2,2
-14.0,0.0,20,11,5,2,2
-12.0,0.0,20,10,5,2,2
-10.0,0.0,20,9,5,2,2
-8.0,0.0,20,8,5,2,2
-6.0,0.0,20,7,5,2,2
-4.0,0.0,20,6,5,2,2
-2.0,0.0,20,5,5,2,2
54.0,14.0,20,4,5,2,3
54.0,16.0,4,4,29,3,1
52.0,16.0,4,28,1,1,1
50.0,16.0,4,27,1,1,1
48.0,16.0,4,26,1,1,1
46.0,16.0,4,25,1,1,1
44.0,16.0,4,24,21,1,1
42.0,16.0,4,23,21,1,1
40.0,16.0,4,22,21,1,4
40.0,14.0,22,20,6,4,4
40.0,12.0,22,19,11,4,1
38.0,12.0,6,21,19,1,1
36.0,12.0,6,20,19,1,1
34.0,12.0,6,19,19,1,4
34.0,10.0,19,18,14,4,4
34.0,8.0,19,17,14,4,4
34.0,6.0,19,16,14,4,1
32.0,6.0,9,18,16,1,1
30.0,6.0,9,17,16,1,1
28.0,6.0,9,16,16,1,1
26.0,6.0,9,15,16,1,1
24.0,6.0,9,14,16,1,1
22.0,6.0,9,13,16,1,4
22.0,4.0,13,15,20,4,4
22.0,2.0,13,14,20,4,4
22.0,0.0,13,13,20,4,1
20.0,0.0,12,12,13,1,1
18.0,0.0,12,11,13,1,1
16.0,0.0,12,10,13,1,1
14.0,0.0,12,9,13,1,1
12.0,0.0,12,8,13,1,1
10.0,0.0,12,7,13,1,1
8.0,0.0,12,6,13,1,1
6.0,0.0,12,5,13,1,1
4.0,0.0,12,4,13,1,1
2.0,0.0,12,3,13,1,3
2.0,2.0,30,11,3,3,3
2.0,4.0,30,10,3,3,2
4.0,4.0,2,29,10,2,2
6.0,4.0,2,28,10,2,2
8.0,4.0,2,27,10,2,2
10.0,4.0,2,26,10,2,2
12.0,4.0,15,25,10,2,2
14.0,4.0,15,24,10,2,2
16.0,4.0,15,23,10,2,2
18.0,4.0,15,22,10,2,2
20.0,4.0,15,21,10,2,3
20.0,6.0,21,9,12,3,3
20.0,8.0,21,8,12,3,3
20.0,10.0,21,7,12,3,1
18.0,10.0,7,11,3,1,1
16.0,10.0,7,10,3,1,1
14.0,10.0,7,9,3,1,1
12.0,10.0,7,8,18,1,1
10.0,10.0,7,7,18,1,1
8.0,10.0,7,6,18,1,1
6.0,10.0,7,5,18,1,1
4.0,10.0,7,4,18,1,1
2.0,10.0,7,3,18,1,1
0.0,10.0,7,2,18,1,4
0.0,8.0,2,17,31,4,4
0.0,6.0,2,16,31,4,4
0.0,4.0,2,15,31,4,4
0.0,2.0,2,14,31,4,4
0.0,6.0,2,13,31,4,4
0.0,4.0,2,12,31,4,2
2.0,4.0,12,30,6,2,2
4.0,4.0,12,29,6,2,2
6.0,4.0,12,28,13,2,2
8.0,4.0,12,27,13,2,2
10.0,4.0,12,26,13,2,2
12.0,4.0,12,25,13,2,2
14.0,4.0,12,24,13,2,4
14.0,2.0,9,11,24,4,4
14.0,0.0,9,10,24,4,1
12.0,0.0,2,8,10,1,1
10.0,0.0,2,7,10,1,1
8.0,0.0,2,6,10,1,1
6.0,0.0,2,5,10,1,1
4.0,0.0,15,4,10,1,1
2.0,0.0,15,3,10,1,3
2.0,2.0,6,14,3,3,3
2.0,4.0,5,13,3,3,3
2.0,6.0,30,12,3,3,3
2.0,8.0,30,11,3,3,3
2.0,10.0,30,10,3,3,3
2.0,12.0,30,9,3,3,3
2.0,14.0,30,8,3,3,3
2.0,16.0,30,7,3,3,1
0.0,16.0,7,2,18,1,1
-2.0,16.0,7,1,18,1,4
-2.0,14.0,1,17,2,4,4
-2.0,12.0,1,16,2,4,4
-2.0,10.0,1,15,2,4,4
-2.0,8.0,1,14,2,4,4
-2.0,6.0,1,13,32,4,4
-2.0,4.0,1,12,32,4,4
-2.0,2.0,1,11,32,4,2
0.0,2.0,11,31,7,2,2
2.0,2.0,11,30,7,2,2
4.0,2.0,11,29,14,2,2
6.0,2.0,11,28,14,2,4
6.0,0.0,5,10,28,4,1
4.0,0.0,1,4,10,1,1
2.0,0.0,1,3,10,1,1
-58.0,12.0,1,2,10,1,1
-60.0,12.0,1,1,10,1,1
22.0,-4.0,0,0,0,1,1
20.0,-4.0,13,15,12,1,1
18.0,-4.0,13,14,12,1,1
16.0,-4.0,13,13,12,1,1
14.0,-4.0,13,12,12,1,1
12.0,-4.0,13,11,12,1,1
10.0,-4.0,13,10,12,1,1
8.0,-4.0,13,9,12,1,1
6.0,-4.0,13,8,12,1,1
4.0,-4.0,13,7,12,1,1
2.0,-4.0,13,6,12,1,3
2.0,-2.0,27,12,6,3,3
2.0,0.0,27,11,6,3,3
2.0,2.0,27,10,6,3,3
2.0,4.0,27,9,6,3,3
2.0,6.0,27,8,6,3,3
2.0,8.0,27,7,6,3,3
2.0,10.0,27,6,6,3,3
