2.0,-2.0,14,5,11,1,1
0.0,-2.0,14,4,11,1,3
-46.0,-8.0,6,13,4,3,3
-46.0,-6.0,29,12,4,3,3
-46.0,-4.0,29,11,4,3,3
-46.0,-2.0,29,10,4,3,2
-44.0,-2.0,4,28,10,2,2
-42.0,-2.0,4,27,10,2,2
-40.0,-2.0,15,26,10,2,2
-38.0,-2.0,15,25,10,2,2
-36.0,-2.0,15,24,10,2,2
-34.0,-2.0,15,23,10,2,3
-34.0,0.0,23,9,10,3,2
-32.0,0.0,16,22,9,2,2
-30.0,0.0,16,21,9,2,2
-28.0,0.0,16,20,9,2,2
-26.0,0.0,16,19,9,2,2
-24.0,0.0,16,18,9,2,2
-22.0,0.0,16,17,9,2,2
-20.0,0.0,16,16,9,2,2
-18.0,0.0,16,15,9,2,2
-16.0,0.0,16,14,9,2,2
-14.0,0.0,16,13,9,2,2
-12.0,0.0,16,12,9,2,2
-10.0,0.0,16,11,9,2,2
-8.0,0.0,16,10,9,2,2
-6.0,0.0,16,9,9,2,2
-4.0,0.0,16,8,9,2,2
-2.0,0.0,16,7,9,2,2
26.0,-8.0,16,6,9,2,4
26.0,-10.0,27,15,6,4,4
26.0,-12.0,27,14,6,4,4
26.0,-14.0,27,13,6,4,1
24.0,-14.0,3,26,13,1,1
22.0,-14.0,3,25,13,1,1
20.0,-14.0,3,24,13,1,1
18.0,-14.0,12,23,13,1,1
16.0,-14.0,12,22,13,1,1
14.0,-14.0,12,21,13,1,1
12.0,-14.0,12,20,13,1,1
10.0,-14.0,12,19,13,1,1
8.0,-14.0,12,18,13,1,1
6.0,-14.0,12,17,13,1,1
4.0,-14.0,12,16,13,1,1
2.0,-14.0,12,15,13,1,1
0.0,-14.0,12,14,13,1,3
0.0,-12.0,19,11,14,3,3
0.0,-10.0,19,10,14,3,3
0.0,-8.0,19,9,14,3,3
0.0,-6.0,19,8,14,3,3
0.0,-4.0,19,7,14,3,3
0.0,-2.0,19,6,14,3,3
-30.0,-6.0,19,5,14,3,2
-28.0,-6.0,7,18,5,2,2
-26.0,-6.0,20,17,5,2,2
-24.0,-6.0,20,16,5,2,2
-22.0,-6.0,20,15,5,2,2
-20.0,-6.0,20,14,5,2,2
-18.0,-6.0,20,13,5,2,3
-18.0,-4.0,13,4,20,3,3
-18.0,-2.0,13,3,20,3,3
-18.0,0.0,13,2,20,3,3
-18.0,2.0,13,1,20,3,2
-16.0,2.0,24,12,1,2,2
-14.0,2.0,24,11,1,2,2
-12.0,2.0,24,10,1,2,2
-10.0,2.0,24,9,1,2,2
-8.0,2.0,24,8,1,2,2
-6.0,2.0,24,7,1,2,2
-4.0,2.0,24,6,1,2,2
-2.0,2.0,24,5,1,2,4
-2.0,0.0,8,23,5,4,4
-2.0,-2.0,28,22,5,4,4
-2.0,-4.0,28,21,5,4,4
-2.0,-6.0,28,20,5,4,4
-2.0,-8.0,28,19,5,4,4
-2.0,-10.0,28,18,5,4,4
-2.0,-12.0,28,17,5,4,4
-2.0,-14.0,28,16,5,4,4
-2.0,-16.0,28,15,5,4,4
-2.0,-18.0,28,14,5,4,4
-2.0,-20.0,28,13,5,4,4
-2.0,-22.0,28,12,5,4,2
0.0,-22.0,12,4,13,2,3
0.0,-20.0,4,12,1,3,3
0.0,-18.0,4,11,1,3,3
0.0,-16.0,4,10,1,3,3
0.0,-14.0,4,9,1,3,3
0.0,-12.0,4,8,29,3,3
0.0,-10.0,4,7,29,3,3
0.0,-8.0,4,6,29,3,3
0.0,-6.0,4,5,29,3,3
0.0,-4.0,4,4,29,3,3
0.0,-2.0,4,3,29,3,3
28.0,20.0,4,2,29,3,3
28.0,22.0,4,1,29,3,1
26.0,22.0,1,28,24,1,1
24.0,22.0,1,27,24,1,1
22.0,22.0,1,26,24,1,1
20.0,22.0,1,25,24,1,1
18.0,22.0,1,24,24,1,1
16.0,22.0,1,23,24,1,1
14.0,22.0,1,22,24,1,1
12.0,22.0,1,21,24,1,1
10.0,22.0,1,20,24,1,1
8.0,22.0,1,19,24,1,1
6.0,22.0,1,18,24,1,1
4.0,22.0,1,17,24,1,1
2.0,22.0,1,16,24,1,1
0.0,22.0,1,15,24,1,4
0.0,20.0,15,23,18,4,4
0.0,18.0,15,22,18,4,4
0.0,16.0,15,21,18,4,4
0.0,14.0,15,20,18,4,4
0.0,12.0,15,19,18,4,4
0.0,10.0,15,18,18,4,4
0.0,8.0,15,17,18,4,4
0.0,6.0,15,16,18,4,4
0.0,4.0,15,15,18,4,4
0.0,2.0,15,14,18,4,4
28.0,-16.0,15,13,18,4,4
28.0,-18.0,15,12,18,4,4
28.0,-20.0,15,11,18,4,4
28.0,-22.0,15,10,18,4,4
28.0,-24.0,15,9,18,4,4
28.0,-26.0,15,8,18,4,4
28.0,-28.0,15,7,18,4,1
26.0,-28.0,18,14,7,1,1
24.0,-28.0,18,13,7,1,1
22.0,-28.0,18,12,7,1,1
20.0,-28.0,18,11,7,1,1
18.0,-28.0,18,10,7,1,1
16.0,-28.0,18,9,7,1,1
14.0,-28.0,18,8,7,1,1
12.0,-28.0,18,7,7,1,1
10.0,-28.0,18,6,7,1,1
8.0,-28.0,18,5,7,1,1
6.0,-28.0,18,4,7,1,1
4.0,-28.0,18,3,7,1,1
2.0,-28.0,18,2,7,1,1
0.0,-28.0,18,1,7,1,1
